,id,pts,offset
St Marks Ave & Ralph Ave-Somers St & Rockaway Ave,213,2,426
St Marks Ave & Ralph Ave-Prospect Pl & Howard Ave,214,2,428
St Marks Ave & Ralph Ave-Pacific St & Ralph Ave,215,2,430
St Marks Ave & Ralph Ave-Eastern Pkwy & Ralph Ave,216,2,432
St Marks Ave & Ralph Ave-Columbus Pl & Atlantic Ave,217,2,434
Murray St & West St-Centre St & Chambers St,218,2,436
Murray St & West St-Vesey Pl & River Terrace,219,2,438
Murray St & West St-West St & Chambers St,220,2,440
Murray St & West St-West Thames St,221,2,442
Murray St & West St-Little West St & 1 Pl,222,2,444
Murray St & West St-West St & Liberty St,223,2,446
Murray St & West St-Pier 40 - Hudson River Park,224,2,448
Murray St & West St-10 Ave & W 14 St,225,2,450
Murray St & West St-E 16 St & 5 Ave,226,2,452
Murray St & West St-Leonard St & Church St,227,2,454
Vernon Blvd & 10 St-31 St & Broadway,228,2,456
Vernon Blvd & 10 St-Broadway & 12 St,229,2,458
Vernon Blvd & 10 St-Crescent St & Broadway,230,2,460
Vernon Blvd & 10 St-Crescent St & 34 Ave,231,2,462
Vernon Blvd & 10 St-34th Ave & Vernon Blvd,232,2,464
Vernon Blvd & 10 St-Roosevelt Island Tramway,233,2,466
Vernon Blvd & 10 St-Motorgate,234,2,468
Vernon Blvd & 10 St-Center Blvd & 51 Ave,235,2,470
Vernon Blvd & 10 St-31 St & Newtown Ave,236,2,472
Vernon Blvd & 10 St-31 Ave & Crescent St,237,2,474
Walnut Ave & E 136 St-Sherman Ave & E 166 St,238,2,476
Walnut Ave & E 136 St-Cathedral Pkwy & Broadway,239,2,478
Walnut Ave & E 136 St-1 Ave & E 94 St,240,2,480
Walnut Ave & E 136 St-Wales Ave & E 147 St,241,2,482
Walnut Ave & E 136 St-W 110 St & Amsterdam Ave,242,2,484
Walnut Ave & E 136 St-E 163 St & Union Ave,243,2,486
Walnut Ave & E 136 St-Icahn Stadium,244,2,488
Walnut Ave & E 136 St-Sunken Meadow Comfort Station,245,2,490
Walnut Ave & E 136 St-20 Ave & 38 St,246,2,492
Walnut Ave & E 136 St-Morris Ave & McClellan St,247,2,494
Old Fulton St-Atlantic Ave & Furman St,248,2,496
Old Fulton St-Front St & Jay St,249,2,498
Old Fulton St-Brooklyn Bridge Park - Pier 2,250,2,500
Old Fulton St-Centre St & Chambers St,251,2,502
Old Fulton St-Henry St & Middagh St,252,2,504
Old Fulton St-Clinton St & Tillary St,253,2,506
Old Fulton St-Clark St & Henry St,254,2,508
Old Fulton St-Van Brunt St & Wolcott St,255,2,510
Old Fulton St-President St & Henry St,256,2,512
Old Fulton St-Cadman Plaza E & Red Cross Pl,257,2,514
E Houston St & Columbia St-E 2 St & Avenue C,258,2,516
E Houston St & Columbia St-E 1 St & 1 Ave,259,2,518
E Houston St & Columbia St-Forsyth St & Grand St,260,2,520
E Houston St & Columbia St-Columbia St & Rivington St,261,2,522
E Houston St & Columbia St-Avenue D & E 3 St,262,2,524
E Houston St & Columbia St-Suffolk St & Stanton St,263,2,526
E Houston St & Columbia St-Norfolk St & Broome St,264,2,528
E Houston St & Columbia St-Division St & Bowery,265,2,530
E Houston St & Columbia St-Rivington St & Ridge St,266,2,532
E Houston St & Columbia St-Bialystoker Pl & Delancey St,267,2,534
W 192 St & University Ave-Jerome Ave & W 193 St,268,2,536
W 192 St & University Ave-Nelson Ave & W 172 St,269,2,538
W 192 St & University Ave-Aqueduct Ave & W 190 St,270,2,540
W 192 St & University Ave-Bainbridge Ave & Bedford Park Blvd,271,2,542
W 192 St & University Ave-Goulden Ave & W 197 St,272,2,544
W 192 St & University Ave-Jerome Ave & W 195 St,273,2,546
W 192 St & University Ave-Grand Concourse & E 192 St,274,2,548
W 192 St & University Ave-Jerome Ave & W Fordham Rd,275,2,550
W 192 St & University Ave-Grand Ave & W Fordham Rd,276,2,552
W 192 St & University Ave-Webb Ave & W 190 St,277,2,554
Prospect Ave & Longwood Ave-Westchester Ave & Longwood Ave,278,2,556
Prospect Ave & Longwood Ave-Prospect Ave & E 151 St,279,2,558
Prospect Ave & Longwood Ave-Cauldwell Ave & E 161 St,280,2,560
Prospect Ave & Longwood Ave-Beck St & Leggett Ave,281,2,562
Prospect Ave & Longwood Ave-Longwood Ave & Southern Blvd,282,2,564
Prospect Ave & Longwood Ave-Southern Blvd & E 149 St,283,2,566
Prospect Ave & Longwood Ave-Tinton Ave & E 165 St,284,2,568
Prospect Ave & Longwood Ave-Prospect Ave & E 167 St,285,2,570
Prospect Ave & Longwood Ave-E 161 St & River Ave,286,2,572
Prospect Ave & Longwood Ave-St Ann's Ave & Westchester Ave,287,2,574
Louis Nine Blvd & Intervale Ave-Westchester Ave & Southern Blvd,288,2,576
Louis Nine Blvd & Intervale Ave-Intervale Ave & Kelly St,289,2,578
Louis Nine Blvd & Intervale Ave-Freeman St & Reverend James A Polite Ave,290,2,580
Louis Nine Blvd & Intervale Ave-Freeman St & Southern Blvd,291,2,582
Louis Nine Blvd & Intervale Ave-College Ave & E 170 St,292,2,584
Louis Nine Blvd & Intervale Ave-Wilkins Ave & Crotona Park E,293,2,586
Louis Nine Blvd & Intervale Ave-Southern Blvd & E 174 St,294,2,588
Louis Nine Blvd & Intervale Ave-Prospect Ave & Jennings St,295,2,590
Louis Nine Blvd & Intervale Ave-Hoe Ave & Jennings St,296,2,592
Louis Nine Blvd & Intervale Ave-Courtlandt Ave & E 149 St,297,2,594
35 St & Broadway-35 St & 34 Ave,298,2,596
35 St & Broadway-Steinway St & Broadway,299,2,598
35 St & Broadway-34 St & 35 Ave,300,2,600
35 St & Broadway-35 St & 30 Ave,301,2,602
35 St & Broadway-43 St & Broadway,302,2,604
35 St & Broadway-34 Ave & 38 St,303,2,606
35 St & Broadway-31 Ave & 34 St,304,2,608
35 St & Broadway-31 St & Broadway,305,2,610
35 St & Broadway-Steinway St & 28 Ave,306,2,612
35 St & Broadway-21 St & 31 Dr,307,2,614
Southern Blvd & E 172 St-Freeman St & Southern Blvd,308,2,616
Southern Blvd & E 172 St-Hoe Ave & Jennings St,309,2,618
Southern Blvd & E 172 St-Southern Blvd & E 174 St,310,2,620
Southern Blvd & E 172 St-Rogers Pl & E 165 St,311,2,622
Southern Blvd & E 172 St-E Fordham Rd & Webster Ave,312,2,624
Southern Blvd & E 172 St-E 171 St & 3 Ave,313,2,626
Southern Blvd & E 172 St-E 156 & Brook Ave,314,2,628
Southern Blvd & E 172 St-Boone Ave & E 172 St,315,2,630
Southern Blvd & E 172 St-Willis Ave & E 137 St,316,2,632
Southern Blvd & E 172 St-Willis Ave & Bruckner Blvd,317,2,634
E Fordham Rd & Webster Ave-Bainbridge Ave & E 198 St,318,2,636
E Fordham Rd & Webster Ave-Bainbridge Ave & E 196 St,319,2,638
E Fordham Rd & Webster Ave-Tiebout Ave & E Fordham Road,320,2,640
E Fordham Rd & Webster Ave-Tiebout Ave & E 184 St,321,2,642
E Fordham Rd & Webster Ave-Botanical Sq & Webster Ave,322,2,644
E Fordham Rd & Webster Ave-Pleasant Ave & E 120 St,323,2,646
E Fordham Rd & Webster Ave-University Ave & W Burnside Ave,324,2,648
E Fordham Rd & Webster Ave-W 225 St & Exterior St,325,2,650
E Fordham Rd & Webster Ave-Jerome Ave & W 195 St,326,2,652
E Fordham Rd & Webster Ave-Webb Ave & W 190 St,327,2,654
Grand Ave & W 181 St-Jerome Ave & E 181 St,328,2,656
Grand Ave & W 181 St-Andrew Ave N & Hall of Fame Tce,329,2,658
Grand Ave & W 181 St-Buchanan Pl & Grand Ave,330,2,660
Grand Ave & W 181 St-Goble Pl & Macombs Rd,331,2,662
Grand Ave & W 181 St-Creston Ave & E 181 St,332,2,664
Grand Ave & W 181 St-St. Nicholas Terrace & Convent Ave,333,2,666
Grand Ave & W 181 St-University Ave & W Burnside Ave,334,2,668
Grand Ave & W 181 St-Morris Ave & E 184 St,335,2,670
Grand Ave & W 181 St-Macombs Rd & Featherbed Ln,336,2,672
Grand Ave & W 181 St-E 182 St & Morris Ave,337,2,674
W 145 St & Amsterdam Ave-W 129 St & Convent Ave,338,2,676
W 145 St & Amsterdam Ave-Convent Ave & W 135 St,339,2,678
W 145 St & Amsterdam Ave-W 148 St & Amsterdam Ave,340,2,680
W 145 St & Amsterdam Ave-W 146 St & Broadway,341,2,682
W 145 St & Amsterdam Ave-W 100 St & Manhattan Ave,342,2,684
W 145 St & Amsterdam Ave-Edgecombe Ave & W 145 St,343,2,686
W 145 St & Amsterdam Ave-Frederick Douglass Blvd & W 145 St,344,2,688
W 145 St & Amsterdam Ave-St Mary's St & Jackson Ave,345,2,690
W 145 St & Amsterdam Ave-St. Nicholas Terrace & Convent Ave,346,2,692
W 145 St & Amsterdam Ave-St Nicholas Ave & W 137 St,347,2,694
E 11 St & 3 Ave-University Pl & E 8 St,348,2,696
E 11 St & 3 Ave-Great Jones St,349,2,698
E 11 St & 3 Ave-4 Ave & E 12 St,350,2,700
E 11 St & 3 Ave-E 10 St & Avenue A,351,2,702
E 11 St & 3 Ave-E 9 St & Avenue C,352,2,704
E 11 St & 3 Ave-University Pl & E 14 St,353,2,706
E 11 St & 3 Ave-E 5 St & Ave A,354,2,708
E 11 St & 3 Ave-Washington Square E,355,2,710
E 11 St & 3 Ave-Broadway & E 14 St,356,2,712
E 11 St & 3 Ave-E 17 St & Broadway,357,2,714
St Felix Ave & 61 St-Norman St & Wyckoff Ave,358,2,716
St Felix Ave & 61 St-Fresh Pond Rd & 69 Ave,359,2,718
St Felix Ave & 61 St-Myrtle Ave & 65 St,360,2,720
St Felix Ave & 61 St-Madison St & Cypress Ave,361,2,722
St Felix Ave & 61 St-Fulton St & Irving Pl,362,2,724
St Felix Ave & 61 St-61 St & 60 Ln,363,2,726
